prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
media,deteccion,22,19,"mail, 549765",Urbana 2,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,23,20,544391,Domingo Antonini N° 89,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,24,21,549964,Rocamora N° 416,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,25,22,"mail, 550057",Gouchon N° 418,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,26,23,548424,Calle Pública s/N° - Los Bretes,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,geolocalizacion,26,23,548424,Calle Pública s/N° - Los Bretes,ambiguous_match_by_manz_parc,match_no_unico|baja_confianza
media,deteccion,27,24,550241,Araujo Pen{on N° 285,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,28,25,550243,"Ruta N° 14, km",Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,geolocalizacion,28,25,550243,"Ruta N° 14, km",ambiguous_match_by_manz_parc,match_no_unico|baja_confianza
media,deteccion,29,26,550237,Madre Isabel Fernandez Nª 312 esq Mitre,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,30,27,"mail, 550170",Hernandez N° 282,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,31,28,"mail, 550474",Bvard. Ferrari N° 1190,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,32,29,549904,Calle Pública s/N°,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
